"uf","litigante","processos"
"GO","PROCURADORIA-GERAL FEDERAL","1"
"GO","PROCURADORIA-GERAL DA FAZENDA NACIONAL","1"
"GO","CAIXA ECONOMICA FEDERAL - CEF","223"
"GO","ALBERTO CAVALCANTE BRAGA ","0"
"GO","PROCURADORIA-GERAL FEDERAL ","0"
"GO","ADVOGADO-GERAL DA UNIAO","68"
"GO","INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS","99"
"MA","HELIO HIRASAWA","0"
"MA","ALBERTO CAVALCANTE BRAGA","86"
"MA","UNIAO","34"
"MA","ROBERTO MAIA","0"
"MA","PROCURADORIA-GERAL FEDERAL","1"
"MA","PROCURADORIA-GERAL DA FAZENDA NACIONAL","0"
"MA","CAIXA ECONOMICA FEDERAL - CEF","294"
"MA","ALBERTO CAVALCANTE BRAGA ","0"
"MA","PROCURADORIA-GERAL FEDERAL ","0"
"MA","ADVOGADO-GERAL DA UNIAO","31"
"MA","INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS","22"
"MG","HELIO HIRASAWA","0"
"MG","ALBERTO CAVALCANTE BRAGA","1950"
"MG","UNIAO","1086"
"MG","ROBERTO MAIA","1"
"MG","PROCURADORIA-GERAL FEDERAL","12"
"MG","PROCURADORIA-GERAL DA FAZENDA NACIONAL","0"
"MG","CAIXA ECONOMICA FEDERAL - CEF","11093"
"MG","ALBERTO CAVALCANTE BRAGA ","0"
"MG","PROCURADORIA-GERAL FEDERAL ","0"
"MG","ADVOGADO-GERAL DA UNIAO","546"
"MG","INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS","730"
"MS","HELIO HIRASAWA","0"
"MS","ALBERTO CAVALCANTE BRAGA","0"
"MS","UNIAO","10"
"MS","ROBERTO MAIA","0"
"MS","PROCURADORIA-GERAL FEDERAL","0"
"MS","PROCURADORIA-GERAL DA FAZENDA NACIONAL","1"
"MS","CAIXA ECONOMICA FEDERAL - CEF","31"
"MS","ALBERTO CAVALCANTE BRAGA ","0"
"MS","PROCURADORIA-GERAL FEDERAL ","0"
"MS","ADVOGADO-GERAL DA UNIAO","8"
"MS","INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS","19"
"MT","HELIO HIRASAWA","0"
"MT","ALBERTO CAVALCANTE BRAGA","47"
"MT","UNIAO","91"
"MT","ROBERTO MAIA","0"
"MT","PROCURADORIA-GERAL FEDERAL","0"
"MT","PROCURADORIA-GERAL DA FAZENDA NACIONAL","0"
"MT","CAIXA ECONOMICA FEDERAL - CEF","114"
"MT","ALBERTO CAVALCANTE BRAGA ","0"
"MT","PROCURADORIA-GERAL FEDERAL ","0"
"MT","ADVOGADO-GERAL DA UNIAO","98"
"MT","INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS","15"
"PA","HELIO HIRASAWA","0"
"PA","ALBERTO CAVALCANTE BRAGA","122"
"PA","UNIAO","222"
"PA","ROBERTO MAIA","1"
"PA","PROCURADORIA-GERAL FEDERAL","2"
"PA","PROCURADORIA-GERAL DA FAZENDA NACIONAL","0"
"PA","CAIXA ECONOMICA FEDERAL - CEF","352"
"PA","ALBERTO CAVALCANTE BRAGA ","0"
"PA","PROCURADORIA-GERAL FEDERAL ","0"
"PA","ADVOGADO-GERAL DA UNIAO","254"
"PA","INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS","22"
"PB","HELIO HIRASAWA","0"
"PB","ALBERTO CAVALCANTE BRAGA","1"
"PB","UNIAO","114"
"PB","ROBERTO MAIA","0"
"PB","PROCURADORIA-GERAL FEDERAL","11"
"PB","PROCURADORIA-GERAL DA FAZENDA NACIONAL","0"
"PB","CAIXA ECONOMICA FEDERAL - CEF","205"
"PB","ALBERTO CAVALCANTE BRAGA ","0"
"PB","PROCURADORIA-GERAL FEDERAL ","0"
"PB","ADVOGADO-GERAL DA UNIAO","167"
"PB","INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS","60"
"PE","HELIO HIRASAWA","0"
"PE","ALBERTO CAVALCANTE BRAGA","2"
"PE","UNIAO","211"
"PE","ROBERTO MAIA","0"
"PE","PROCURADORIA-GERAL FEDERAL","8"
"PE","PROCURADORIA-GERAL DA FAZENDA NACIONAL","7"
"PE","CAIXA ECONOMICA FEDERAL - CEF","221"
"PE","ALBERTO CAVALCANTE BRAGA ","0"
"PE","PROCURADORIA-GERAL FEDERAL ","0"
"PE","ADVOGADO-GERAL DA UNIAO","144"
"PE","INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS","85"
"PI","HELIO HIRASAWA","0"
"PI","ALBERTO CAVALCANTE BRAGA","31"
"PI","UNIAO","46"
"PI","ROBERTO MAIA","0"
"PI","PROCURADORIA-GERAL FEDERAL","0"
"PI","PROCURADORIA-GERAL DA FAZENDA NACIONAL","0"
"PI","CAIXA ECONOMICA FEDERAL - CEF","78"
"PI","ALBERTO CAVALCANTE BRAGA ","0"
"PI","PROCURADORIA-GERAL FEDERAL ","0"
"PI","ADVOGADO-GERAL DA UNIAO","52"
"PI","INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS","13"
"PR","HELIO HIRASAWA","0"
"PR","ALBERTO CAVALCANTE BRAGA","3"
"PR","UNIAO","1008"
"PR","ROBERTO MAIA","572"
"PR","PROCURADORIA-GERAL FEDERAL","17"
"PR","PROCURADORIA-GERAL DA FAZENDA NACIONAL","2"
"PR","CAIXA ECONOMICA FEDERAL - CEF","2442"
"PR","ALBERTO CAVALCANTE BRAGA ","0"
"PR","PROCURADORIA-GERAL FEDERAL ","0"
"PR","ADVOGADO-GERAL DA UNIAO","247"
"PR","INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS","1144"
"RJ","HELIO HIRASAWA","0"
"RJ","ALBERTO CAVALCANTE BRAGA","5"
"RJ","UNIAO","912"
"RJ","ROBERTO MAIA","5"
"RJ","PROCURADORIA-GERAL FEDERAL","7"
"RJ","PROCURADORIA-GERAL DA FAZENDA NACIONAL","1"
"RJ","CAIXA ECONOMICA FEDERAL - CEF","3380"
"RJ","ALBERTO CAVALCANTE BRAGA ","0"
"RJ","PROCURADORIA-GERAL FEDERAL ","0"
"RJ","ADVOGADO-GERAL DA UNIAO","736"
"RJ","INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS","1535"
"RN","HELIO HIRASAWA","0"
"RN","ALBERTO CAVALCANTE BRAGA","1"
"RN","UNIAO","143"
"RN","ROBERTO MAIA","0"
"RN","PROCURADORIA-GERAL FEDERAL","23"
"RN","PROCURADORIA-GERAL DA FAZENDA NACIONAL","0"
"RN","CAIXA ECONOMICA FEDERAL - CEF","359"
"RN","ALBERTO CAVALCANTE BRAGA ","0"
"RN","PROCURADORIA-GERAL FEDERAL ","0"
"RN","ADVOGADO-GERAL DA UNIAO","151"
"RN","INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS","38"
"RO","HELIO HIRASAWA","0"
"RO","ALBERTO CAVALCANTE BRAGA","25"
"RO","UNIAO","47"
"RO","ROBERTO MAIA","0"
"RO","PROCURADORIA-GERAL FEDERAL","0"
"RO","PROCURADORIA-GERAL DA FAZENDA NACIONAL","1"
"RO","CAIXA ECONOMICA FEDERAL - CEF","51"
"RO","ALBERTO CAVALCANTE BRAGA ","0"
"RO","PROCURADORIA-GERAL FEDERAL ","0"
"RO","ADVOGADO-GERAL DA UNIAO","58"
"RO","INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS","2"
"RR","HELIO HIRASAWA","0"
"RR","ALBERTO CAVALCANTE BRAGA","6"
"RR","UNIAO","33"
"RR","ROBERTO MAIA","0"
"RR","PROCURADORIA-GERAL FEDERAL","2"
"RR","PROCURADORIA-GERAL DA FAZENDA NACIONAL","0"
"RR","CAIXA ECONOMICA FEDERAL - CEF","24"
"RR","ALBERTO CAVALCANTE BRAGA ","0"
"RR","PROCURADORIA-GERAL FEDERAL ","0"
"RR","ADVOGADO-GERAL DA UNIAO","41"
"RR","INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS","1"
"RS","HELIO HIRASAWA","0"
"RS","ALBERTO CAVALCANTE BRAGA","3"
"RS","UNIAO","1142"
"RS","ROBERTO MAIA","692"
"RS","PROCURADORIA-GERAL FEDERAL","70"
"RS","PROCURADORIA-GERAL DA FAZENDA NACIONAL","14"
"RS","CAIXA ECONOMICA FEDERAL - CEF","2635"
"RS","ALBERTO CAVALCANTE BRAGA ","0"
"RS","PROCURADORIA-GERAL FEDERAL ","0"
"RS","ADVOGADO-GERAL DA UNIAO","519"
"RS","INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS","3741"
"SC","HELIO HIRASAWA","0"
"SC","ALBERTO CAVALCANTE BRAGA","2"
"SC","UNIAO","724"
"SC","ROBERTO MAIA","380"
"SC","PROCURADORIA-GERAL FEDERAL","21"
"SC","PROCURADORIA-GERAL DA FAZENDA NACIONAL","4"
"SC","CAIXA ECONOMICA FEDERAL - CEF","1442"
"SC","ALBERTO CAVALCANTE BRAGA ","0"
"SC","PROCURADORIA-GERAL FEDERAL ","0"
"SC","ADVOGADO-GERAL DA UNIAO","324"
"SC","INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS","2809"
"SE","HELIO HIRASAWA","0"
"SE","ALBERTO CAVALCANTE BRAGA","0"
"SE","UNIAO","25"
"SE","ROBERTO MAIA","0"
"SE","PROCURADORIA-GERAL FEDERAL","7"
"SE","PROCURADORIA-GERAL DA FAZENDA NACIONAL","0"
"SE","CAIXA ECONOMICA FEDERAL - CEF","10"
"SE","ALBERTO CAVALCANTE BRAGA ","0"
"SE","PROCURADORIA-GERAL FEDERAL ","0"
"SE","ADVOGADO-GERAL DA UNIAO","41"
"SE","INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS","15"
"SP","HELIO HIRASAWA","0"
"SP","ALBERTO CAVALCANTE BRAGA","7"
"SP","UNIAO","1114"
"SP","ROBERTO MAIA","1"
"SP","PROCURADORIA-GERAL FEDERAL","4"
"SP","PROCURADORIA-GERAL DA FAZENDA NACIONAL","10"
"SP","CAIXA ECONOMICA FEDERAL - CEF","4198"
"SP","ALBERTO CAVALCANTE BRAGA ","0"
"SP","PROCURADORIA-GERAL FEDERAL ","0"
"SP","ADVOGADO-GERAL DA UNIAO","267"
"SP","INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS","1691"
"TO","HELIO HIRASAWA","0"
"TO","ALBERTO CAVALCANTE BRAGA","28"
"TO","UNIAO","11"
"TO","ROBERTO MAIA","0"
"TO","PROCURADORIA-GERAL FEDERAL","0"
"TO","PROCURADORIA-GERAL DA FAZENDA NACIONAL","1"
"TO","CAIXA ECONOMICA FEDERAL - CEF","59"
"TO","ALBERTO CAVALCANTE BRAGA ","0"
"TO","PROCURADORIA-GERAL FEDERAL ","0"
"TO","ADVOGADO-GERAL DA UNIAO","7"
"TO","INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS","1"
