"uf","litigante","processos"
"MG","PROCURADORIA-GERAL FEDERAL","7"
"MG","PROCURADORIA-GERAL DA FAZENDA NACIONAL","2"
"MG","CAIXA ECONOMICA FEDERAL - CEF","16415"
"MG","ALBERTO CAVALCANTE BRAGA ","0"
"MG","PROCURADORIA-GERAL FEDERAL ","0"
"MG","ADVOGADO-GERAL DA UNIAO","214"
"MG","INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS","236"
"MS","HELIO HIRASAWA","0"
"MS","ALBERTO CAVALCANTE BRAGA","0"
"MS","UNIAO","13"
"MS","ROBERTO MAIA","0"
"MS","PROCURADORIA-GERAL FEDERAL","0"
"MS","PROCURADORIA-GERAL DA FAZENDA NACIONAL","0"
"MS","CAIXA ECONOMICA FEDERAL - CEF","27"
"MS","ALBERTO CAVALCANTE BRAGA ","0"
"MS","PROCURADORIA-GERAL FEDERAL ","0"
"MS","ADVOGADO-GERAL DA UNIAO","15"
"MS","INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS","3"
"MT","HELIO HIRASAWA","0"
"MT","ALBERTO CAVALCANTE BRAGA","45"
"MT","UNIAO","28"
"MT","ROBERTO MAIA","0"
"MT","PROCURADORIA-GERAL FEDERAL","0"
"MT","PROCURADORIA-GERAL DA FAZENDA NACIONAL","0"
"MT","CAIXA ECONOMICA FEDERAL - CEF","166"
"MT","ALBERTO CAVALCANTE BRAGA ","0"
"MT","PROCURADORIA-GERAL FEDERAL ","0"
"MT","ADVOGADO-GERAL DA UNIAO","25"
"MT","INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS","3"
"PA","HELIO HIRASAWA","0"
"PA","ALBERTO CAVALCANTE BRAGA","82"
"PA","UNIAO","71"
"PA","ROBERTO MAIA","0"
"PA","PROCURADORIA-GERAL FEDERAL","2"
"PA","PROCURADORIA-GERAL DA FAZENDA NACIONAL","0"
"PA","CAIXA ECONOMICA FEDERAL - CEF","333"
"PA","ALBERTO CAVALCANTE BRAGA ","0"
"PA","PROCURADORIA-GERAL FEDERAL ","0"
"PA","ADVOGADO-GERAL DA UNIAO","105"
"PA","INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS","10"
"PB","HELIO HIRASAWA","0"
"PB","ALBERTO CAVALCANTE BRAGA","0"
"PB","UNIAO","155"
"PB","ROBERTO MAIA","0"
"PB","PROCURADORIA-GERAL FEDERAL","3"
"PB","PROCURADORIA-GERAL DA FAZENDA NACIONAL","2"
"PB","CAIXA ECONOMICA FEDERAL - CEF","359"
"PB","ALBERTO CAVALCANTE BRAGA ","0"
"PB","PROCURADORIA-GERAL FEDERAL ","0"
"PB","ADVOGADO-GERAL DA UNIAO","224"
"PB","INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS","27"
"PE","HELIO HIRASAWA","0"
"PE","ALBERTO CAVALCANTE BRAGA","0"
"PE","UNIAO","112"
"PE","ROBERTO MAIA","0"
"PE","PROCURADORIA-GERAL FEDERAL","4"
"PE","PROCURADORIA-GERAL DA FAZENDA NACIONAL","1"
"PE","CAIXA ECONOMICA FEDERAL - CEF","192"
"PE","ALBERTO CAVALCANTE BRAGA ","0"
"PE","PROCURADORIA-GERAL FEDERAL ","0"
"PE","ADVOGADO-GERAL DA UNIAO","92"
"PE","INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS","20"
"PI","HELIO HIRASAWA","0"
"PI","ALBERTO CAVALCANTE BRAGA","41"
"PI","UNIAO","10"
"PI","ROBERTO MAIA","0"
"PI","PROCURADORIA-GERAL FEDERAL","0"
"PI","PROCURADORIA-GERAL DA FAZENDA NACIONAL","0"
"PI","CAIXA ECONOMICA FEDERAL - CEF","128"
"PI","ALBERTO CAVALCANTE BRAGA ","0"
"PI","PROCURADORIA-GERAL FEDERAL ","0"
"PI","ADVOGADO-GERAL DA UNIAO","9"
"PI","INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS","3"
"PR","HELIO HIRASAWA","0"
"PR","ALBERTO CAVALCANTE BRAGA","1"
"PR","UNIAO","494"
"PR","ROBERTO MAIA","1891"
"PR","PROCURADORIA-GERAL FEDERAL","4"
"PR","PROCURADORIA-GERAL DA FAZENDA NACIONAL","46"
"PR","CAIXA ECONOMICA FEDERAL - CEF","7262"
"PR","ALBERTO CAVALCANTE BRAGA ","0"
"PR","PROCURADORIA-GERAL FEDERAL ","0"
"PR","ADVOGADO-GERAL DA UNIAO","112"
"PR","INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS","397"
"RJ","HELIO HIRASAWA","0"
"RJ","ALBERTO CAVALCANTE BRAGA","1"
"RJ","UNIAO","652"
"RJ","ROBERTO MAIA","4"
"RJ","PROCURADORIA-GERAL FEDERAL","1"
"RJ","PROCURADORIA-GERAL DA FAZENDA NACIONAL","5"
"RJ","CAIXA ECONOMICA FEDERAL - CEF","4047"
"RJ","ALBERTO CAVALCANTE BRAGA ","0"
"RJ","PROCURADORIA-GERAL FEDERAL ","0"
"RJ","ADVOGADO-GERAL DA UNIAO","473"
"RJ","INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS","1671"
"RN","HELIO HIRASAWA","0"
"RN","ALBERTO CAVALCANTE BRAGA","0"
"RN","UNIAO","162"
"RN","ROBERTO MAIA","0"
"RN","PROCURADORIA-GERAL FEDERAL","6"
"RN","PROCURADORIA-GERAL DA FAZENDA NACIONAL","0"
"RN","CAIXA ECONOMICA FEDERAL - CEF","564"
"RN","ALBERTO CAVALCANTE BRAGA ","0"
"RN","PROCURADORIA-GERAL FEDERAL ","0"
"RN","ADVOGADO-GERAL DA UNIAO","184"
"RN","INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS","20"
"RO","HELIO HIRASAWA","0"
"RO","ALBERTO CAVALCANTE BRAGA","6"
"RO","UNIAO","32"
"RO","ROBERTO MAIA","0"
"RO","PROCURADORIA-GERAL FEDERAL","0"
"RO","PROCURADORIA-GERAL DA FAZENDA NACIONAL","0"
"RO","CAIXA ECONOMICA FEDERAL - CEF","21"
"RO","ALBERTO CAVALCANTE BRAGA ","0"
"RO","PROCURADORIA-GERAL FEDERAL ","0"
"RO","ADVOGADO-GERAL DA UNIAO","31"
"RO","INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS","8"
"RR","HELIO HIRASAWA","0"
"RR","ALBERTO CAVALCANTE BRAGA","12"
"RR","UNIAO","28"
"RR","ROBERTO MAIA","0"
"RR","PROCURADORIA-GERAL FEDERAL","2"
"RR","PROCURADORIA-GERAL DA FAZENDA NACIONAL","0"
"RR","CAIXA ECONOMICA FEDERAL - CEF","19"
"RR","ALBERTO CAVALCANTE BRAGA ","0"
"RR","PROCURADORIA-GERAL FEDERAL ","0"
"RR","ADVOGADO-GERAL DA UNIAO","33"
"RR","INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS","1"
"RS","HELIO HIRASAWA","0"
"RS","ALBERTO CAVALCANTE BRAGA","3"
"RS","UNIAO","404"
"RS","ROBERTO MAIA","2709"
"RS","PROCURADORIA-GERAL FEDERAL","12"
"RS","PROCURADORIA-GERAL DA FAZENDA NACIONAL","3"
"RS","CAIXA ECONOMICA FEDERAL - CEF","8798"
"RS","ALBERTO CAVALCANTE BRAGA ","0"
"RS","PROCURADORIA-GERAL FEDERAL ","0"
"RS","ADVOGADO-GERAL DA UNIAO","204"
"RS","INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS","1951"
"SC","HELIO HIRASAWA","0"
"SC","ALBERTO CAVALCANTE BRAGA","1"
"SC","UNIAO","333"
"SC","ROBERTO MAIA","995"
"SC","PROCURADORIA-GERAL FEDERAL","0"
"SC","PROCURADORIA-GERAL DA FAZENDA NACIONAL","3"
"SC","CAIXA ECONOMICA FEDERAL - CEF","3564"
"SC","ALBERTO CAVALCANTE BRAGA ","0"
"SC","PROCURADORIA-GERAL FEDERAL ","0"
"SC","ADVOGADO-GERAL DA UNIAO","95"
"SC","INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS","1874"
"SE","HELIO HIRASAWA","0"
"SE","ALBERTO CAVALCANTE BRAGA","0"
"SE","UNIAO","40"
"SE","ROBERTO MAIA","1"
"SE","PROCURADORIA-GERAL FEDERAL","5"
"SE","PROCURADORIA-GERAL DA FAZENDA NACIONAL","2"
"SE","CAIXA ECONOMICA FEDERAL - CEF","9"
"SE","ALBERTO CAVALCANTE BRAGA ","0"
"SE","PROCURADORIA-GERAL FEDERAL ","0"
"SE","ADVOGADO-GERAL DA UNIAO","47"
"SE","INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS","7"
"SP","HELIO HIRASAWA","0"
"SP","ALBERTO CAVALCANTE BRAGA","3"
"SP","UNIAO","628"
"SP","ROBERTO MAIA","6"
"SP","PROCURADORIA-GERAL FEDERAL","3"
"SP","PROCURADORIA-GERAL DA FAZENDA NACIONAL","26"
"SP","CAIXA ECONOMICA FEDERAL - CEF","4305"
"SP","ALBERTO CAVALCANTE BRAGA ","0"
"SP","PROCURADORIA-GERAL FEDERAL ","0"
"SP","ADVOGADO-GERAL DA UNIAO","178"
"SP","INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS","1037"
"TO","HELIO HIRASAWA","0"
"TO","ALBERTO CAVALCANTE BRAGA","2"
"TO","UNIAO","2"
"TO","ROBERTO MAIA","0"
"TO","PROCURADORIA-GERAL FEDERAL","0"
"TO","PROCURADORIA-GERAL DA FAZENDA NACIONAL","0"
"TO","CAIXA ECONOMICA FEDERAL - CEF","21"
"TO","ALBERTO CAVALCANTE BRAGA ","0"
"TO","PROCURADORIA-GERAL FEDERAL ","0"
"TO","ADVOGADO-GERAL DA UNIAO","1"
"TO","INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS","4"
