"uf","litigante","processos"
"MA","ADVOGADO-GERAL DA UNIAO","18"
"MA","INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS","1"
"MG","HELIO HIRASAWA","0"
"MG","ALBERTO CAVALCANTE BRAGA","0"
"MG","UNIAO","247"
"MG","ROBERTO MAIA","0"
"MG","PROCURADORIA-GERAL FEDERAL","114"
"MG","PROCURADORIA-GERAL DA FAZENDA NACIONAL","115"
"MG","CAIXA ECONOMICA FEDERAL - CEF","21"
"MG","ALBERTO CAVALCANTE BRAGA ","0"
"MG","PROCURADORIA-GERAL FEDERAL ","0"
"MG","ADVOGADO-GERAL DA UNIAO","94"
"MG","INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS","136"
"MS","HELIO HIRASAWA","0"
"MS","ALBERTO CAVALCANTE BRAGA","0"
"MS","UNIAO","21"
"MS","ROBERTO MAIA","0"
"MS","PROCURADORIA-GERAL FEDERAL","5"
"MS","PROCURADORIA-GERAL DA FAZENDA NACIONAL","0"
"MS","CAIXA ECONOMICA FEDERAL - CEF","0"
"MS","ALBERTO CAVALCANTE BRAGA ","0"
"MS","PROCURADORIA-GERAL FEDERAL ","0"
"MS","ADVOGADO-GERAL DA UNIAO","21"
"MS","INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS","3"
"MT","HELIO HIRASAWA","0"
"MT","ALBERTO CAVALCANTE BRAGA","1"
"MT","UNIAO","75"
"MT","ROBERTO MAIA","0"
"MT","PROCURADORIA-GERAL FEDERAL","17"
"MT","PROCURADORIA-GERAL DA FAZENDA NACIONAL","5"
"MT","CAIXA ECONOMICA FEDERAL - CEF","3"
"MT","ALBERTO CAVALCANTE BRAGA ","0"
"MT","PROCURADORIA-GERAL FEDERAL ","0"
"MT","ADVOGADO-GERAL DA UNIAO","71"
"MT","INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS","3"
"PA","HELIO HIRASAWA","0"
"PA","ALBERTO CAVALCANTE BRAGA","0"
"PA","UNIAO","33"
"PA","ROBERTO MAIA","0"
"PA","PROCURADORIA-GERAL FEDERAL","27"
"PA","PROCURADORIA-GERAL DA FAZENDA NACIONAL","9"
"PA","CAIXA ECONOMICA FEDERAL - CEF","2"
"PA","ALBERTO CAVALCANTE BRAGA ","0"
"PA","PROCURADORIA-GERAL FEDERAL ","0"
"PA","ADVOGADO-GERAL DA UNIAO","24"
"PA","INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS","8"
"PB","HELIO HIRASAWA","0"
"PB","ALBERTO CAVALCANTE BRAGA","0"
"PB","UNIAO","38"
"PB","ROBERTO MAIA","0"
"PB","PROCURADORIA-GERAL FEDERAL","25"
"PB","PROCURADORIA-GERAL DA FAZENDA NACIONAL","6"
"PB","CAIXA ECONOMICA FEDERAL - CEF","4"
"PB","ALBERTO CAVALCANTE BRAGA ","0"
"PB","PROCURADORIA-GERAL FEDERAL ","0"
"PB","ADVOGADO-GERAL DA UNIAO","34"
"PB","INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS","34"
"PE","HELIO HIRASAWA","0"
"PE","ALBERTO CAVALCANTE BRAGA","0"
"PE","UNIAO","191"
"PE","ROBERTO MAIA","0"
"PE","PROCURADORIA-GERAL FEDERAL","40"
"PE","PROCURADORIA-GERAL DA FAZENDA NACIONAL","35"
"PE","CAIXA ECONOMICA FEDERAL - CEF","11"
"PE","ALBERTO CAVALCANTE BRAGA ","0"
"PE","PROCURADORIA-GERAL FEDERAL ","0"
"PE","ADVOGADO-GERAL DA UNIAO","124"
"PE","INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS","35"
"PI","HELIO HIRASAWA","0"
"PI","ALBERTO CAVALCANTE BRAGA","0"
"PI","UNIAO","10"
"PI","ROBERTO MAIA","0"
"PI","PROCURADORIA-GERAL FEDERAL","4"
"PI","PROCURADORIA-GERAL DA FAZENDA NACIONAL","2"
"PI","CAIXA ECONOMICA FEDERAL - CEF","3"
"PI","ALBERTO CAVALCANTE BRAGA ","0"
"PI","PROCURADORIA-GERAL FEDERAL ","0"
"PI","ADVOGADO-GERAL DA UNIAO","7"
"PI","INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS","6"
"PR","HELIO HIRASAWA","0"
"PR","ALBERTO CAVALCANTE BRAGA","0"
"PR","UNIAO","405"
"PR","ROBERTO MAIA","0"
"PR","PROCURADORIA-GERAL FEDERAL","137"
"PR","PROCURADORIA-GERAL DA FAZENDA NACIONAL","170"
"PR","CAIXA ECONOMICA FEDERAL - CEF","44"
"PR","ALBERTO CAVALCANTE BRAGA ","0"
"PR","PROCURADORIA-GERAL FEDERAL ","0"
"PR","ADVOGADO-GERAL DA UNIAO","195"
"PR","INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS","190"
"RJ","HELIO HIRASAWA","0"
"RJ","ALBERTO CAVALCANTE BRAGA","0"
"RJ","UNIAO","702"
"RJ","ROBERTO MAIA","0"
"RJ","PROCURADORIA-GERAL FEDERAL","255"
"RJ","PROCURADORIA-GERAL DA FAZENDA NACIONAL","170"
"RJ","CAIXA ECONOMICA FEDERAL - CEF","45"
"RJ","ALBERTO CAVALCANTE BRAGA ","0"
"RJ","PROCURADORIA-GERAL FEDERAL ","0"
"RJ","ADVOGADO-GERAL DA UNIAO","452"
"RJ","INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS","185"
"RN","HELIO HIRASAWA","0"
"RN","ALBERTO CAVALCANTE BRAGA","0"
"RN","UNIAO","56"
"RN","ROBERTO MAIA","0"
"RN","PROCURADORIA-GERAL FEDERAL","148"
"RN","PROCURADORIA-GERAL DA FAZENDA NACIONAL","11"
"RN","CAIXA ECONOMICA FEDERAL - CEF","10"
"RN","ALBERTO CAVALCANTE BRAGA ","0"
"RN","PROCURADORIA-GERAL FEDERAL ","0"
"RN","ADVOGADO-GERAL DA UNIAO","36"
"RN","INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS","9"
"RO","HELIO HIRASAWA","0"
"RO","ALBERTO CAVALCANTE BRAGA","0"
"RO","UNIAO","19"
"RO","ROBERTO MAIA","0"
"RO","PROCURADORIA-GERAL FEDERAL","16"
"RO","PROCURADORIA-GERAL DA FAZENDA NACIONAL","3"
"RO","CAIXA ECONOMICA FEDERAL - CEF","0"
"RO","ALBERTO CAVALCANTE BRAGA ","0"
"RO","PROCURADORIA-GERAL FEDERAL ","0"
"RO","ADVOGADO-GERAL DA UNIAO","18"
"RO","INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS","9"
"RR","HELIO HIRASAWA","0"
"RR","ALBERTO CAVALCANTE BRAGA","0"
"RR","UNIAO","14"
"RR","ROBERTO MAIA","0"
"RR","PROCURADORIA-GERAL FEDERAL","10"
"RR","PROCURADORIA-GERAL DA FAZENDA NACIONAL","3"
"RR","CAIXA ECONOMICA FEDERAL - CEF","0"
"RR","ALBERTO CAVALCANTE BRAGA ","0"
"RR","PROCURADORIA-GERAL FEDERAL ","0"
"RR","ADVOGADO-GERAL DA UNIAO","11"
"RR","INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS","0"
"RS","HELIO HIRASAWA","0"
"RS","ALBERTO CAVALCANTE BRAGA","0"
"RS","UNIAO","717"
"RS","ROBERTO MAIA","1"
"RS","PROCURADORIA-GERAL FEDERAL","250"
"RS","PROCURADORIA-GERAL DA FAZENDA NACIONAL","255"
"RS","CAIXA ECONOMICA FEDERAL - CEF","74"
"RS","ALBERTO CAVALCANTE BRAGA ","0"
"RS","PROCURADORIA-GERAL FEDERAL ","0"
"RS","ADVOGADO-GERAL DA UNIAO","379"
"RS","INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS","390"
"SC","HELIO HIRASAWA","0"
"SC","ALBERTO CAVALCANTE BRAGA","0"
"SC","UNIAO","550"
"SC","ROBERTO MAIA","0"
"SC","PROCURADORIA-GERAL FEDERAL","97"
"SC","PROCURADORIA-GERAL DA FAZENDA NACIONAL","169"
"SC","CAIXA ECONOMICA FEDERAL - CEF","25"
"SC","ALBERTO CAVALCANTE BRAGA ","0"
"SC","PROCURADORIA-GERAL FEDERAL ","0"
"SC","ADVOGADO-GERAL DA UNIAO","325"
"SC","INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS","205"
"SE","HELIO HIRASAWA","0"
"SE","ALBERTO CAVALCANTE BRAGA","0"
"SE","UNIAO","95"
"SE","ROBERTO MAIA","0"
"SE","PROCURADORIA-GERAL FEDERAL","11"
"SE","PROCURADORIA-GERAL DA FAZENDA NACIONAL","1"
"SE","CAIXA ECONOMICA FEDERAL - CEF","6"
"SE","ALBERTO CAVALCANTE BRAGA ","0"
"SE","PROCURADORIA-GERAL FEDERAL ","0"
"SE","ADVOGADO-GERAL DA UNIAO","95"
"SE","INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS","5"
"SP","HELIO HIRASAWA","0"
"SP","ALBERTO CAVALCANTE BRAGA","0"
"SP","UNIAO","1118"
"SP","ROBERTO MAIA","0"
"SP","PROCURADORIA-GERAL FEDERAL","137"
"SP","PROCURADORIA-GERAL DA FAZENDA NACIONAL","552"
"SP","CAIXA ECONOMICA FEDERAL - CEF","38"
"SP","ALBERTO CAVALCANTE BRAGA ","0"
"SP","PROCURADORIA-GERAL FEDERAL ","0"
"SP","ADVOGADO-GERAL DA UNIAO","285"
"SP","INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS","265"
"TO","HELIO HIRASAWA","0"
"TO","ALBERTO CAVALCANTE BRAGA","0"
"TO","UNIAO","11"
"TO","ROBERTO MAIA","0"
"TO","PROCURADORIA-GERAL FEDERAL","3"
"TO","PROCURADORIA-GERAL DA FAZENDA NACIONAL","1"
"TO","CAIXA ECONOMICA FEDERAL - CEF","0"
"TO","ALBERTO CAVALCANTE BRAGA ","0"
"TO","PROCURADORIA-GERAL FEDERAL ","0"
"TO","ADVOGADO-GERAL DA UNIAO","9"
"TO","INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS","0"
