"uf","litigante","processos"
"MA","ADVOGADO-GERAL DA UNIAO","48"
"MA","INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS","3"
"MG","HELIO HIRASAWA","0"
"MG","ALBERTO CAVALCANTE BRAGA","3"
"MG","UNIAO","1054"
"MG","ROBERTO MAIA","0"
"MG","PROCURADORIA-GERAL FEDERAL","265"
"MG","PROCURADORIA-GERAL DA FAZENDA NACIONAL","345"
"MG","CAIXA ECONOMICA FEDERAL - CEF","232"
"MG","ALBERTO CAVALCANTE BRAGA ","0"
"MG","PROCURADORIA-GERAL FEDERAL ","0"
"MG","ADVOGADO-GERAL DA UNIAO","362"
"MG","INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS","764"
"MS","HELIO HIRASAWA","0"
"MS","ALBERTO CAVALCANTE BRAGA","0"
"MS","UNIAO","26"
"MS","ROBERTO MAIA","0"
"MS","PROCURADORIA-GERAL FEDERAL","9"
"MS","PROCURADORIA-GERAL DA FAZENDA NACIONAL","12"
"MS","CAIXA ECONOMICA FEDERAL - CEF","1"
"MS","ALBERTO CAVALCANTE BRAGA ","0"
"MS","PROCURADORIA-GERAL FEDERAL ","0"
"MS","ADVOGADO-GERAL DA UNIAO","15"
"MS","INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS","36"
"MT","HELIO HIRASAWA","0"
"MT","ALBERTO CAVALCANTE BRAGA","0"
"MT","UNIAO","95"
"MT","ROBERTO MAIA","0"
"MT","PROCURADORIA-GERAL FEDERAL","31"
"MT","PROCURADORIA-GERAL DA FAZENDA NACIONAL","49"
"MT","CAIXA ECONOMICA FEDERAL - CEF","9"
"MT","ALBERTO CAVALCANTE BRAGA ","0"
"MT","PROCURADORIA-GERAL FEDERAL ","0"
"MT","ADVOGADO-GERAL DA UNIAO","41"
"MT","INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS","84"
"PA","HELIO HIRASAWA","0"
"PA","ALBERTO CAVALCANTE BRAGA","0"
"PA","UNIAO","85"
"PA","ROBERTO MAIA","0"
"PA","PROCURADORIA-GERAL FEDERAL","42"
"PA","PROCURADORIA-GERAL DA FAZENDA NACIONAL","44"
"PA","CAIXA ECONOMICA FEDERAL - CEF","4"
"PA","ALBERTO CAVALCANTE BRAGA ","0"
"PA","PROCURADORIA-GERAL FEDERAL ","0"
"PA","ADVOGADO-GERAL DA UNIAO","56"
"PA","INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS","74"
"PB","HELIO HIRASAWA","0"
"PB","ALBERTO CAVALCANTE BRAGA","0"
"PB","UNIAO","171"
"PB","ROBERTO MAIA","0"
"PB","PROCURADORIA-GERAL FEDERAL","66"
"PB","PROCURADORIA-GERAL DA FAZENDA NACIONAL","21"
"PB","CAIXA ECONOMICA FEDERAL - CEF","17"
"PB","ALBERTO CAVALCANTE BRAGA ","0"
"PB","PROCURADORIA-GERAL FEDERAL ","0"
"PB","ADVOGADO-GERAL DA UNIAO","129"
"PB","INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS","181"
"PE","HELIO HIRASAWA","0"
"PE","ALBERTO CAVALCANTE BRAGA","0"
"PE","UNIAO","508"
"PE","ROBERTO MAIA","0"
"PE","PROCURADORIA-GERAL FEDERAL","132"
"PE","PROCURADORIA-GERAL DA FAZENDA NACIONAL","115"
"PE","CAIXA ECONOMICA FEDERAL - CEF","46"
"PE","ALBERTO CAVALCANTE BRAGA ","0"
"PE","PROCURADORIA-GERAL FEDERAL ","0"
"PE","ADVOGADO-GERAL DA UNIAO","319"
"PE","INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS","2213"
"PI","HELIO HIRASAWA","0"
"PI","ALBERTO CAVALCANTE BRAGA","0"
"PI","UNIAO","68"
"PI","ROBERTO MAIA","0"
"PI","PROCURADORIA-GERAL FEDERAL","8"
"PI","PROCURADORIA-GERAL DA FAZENDA NACIONAL","15"
"PI","CAIXA ECONOMICA FEDERAL - CEF","8"
"PI","ALBERTO CAVALCANTE BRAGA ","0"
"PI","PROCURADORIA-GERAL FEDERAL ","0"
"PI","ADVOGADO-GERAL DA UNIAO","44"
"PI","INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS","14"
"PR","HELIO HIRASAWA","0"
"PR","ALBERTO CAVALCANTE BRAGA","0"
"PR","UNIAO","1792"
"PR","ROBERTO MAIA","0"
"PR","PROCURADORIA-GERAL FEDERAL","316"
"PR","PROCURADORIA-GERAL DA FAZENDA NACIONAL","591"
"PR","CAIXA ECONOMICA FEDERAL - CEF","233"
"PR","ALBERTO CAVALCANTE BRAGA ","0"
"PR","PROCURADORIA-GERAL FEDERAL ","1"
"PR","ADVOGADO-GERAL DA UNIAO","665"
"PR","INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS","1779"
"RJ","HELIO HIRASAWA","0"
"RJ","ALBERTO CAVALCANTE BRAGA","0"
"RJ","UNIAO","3774"
"RJ","ROBERTO MAIA","0"
"RJ","PROCURADORIA-GERAL FEDERAL","436"
"RJ","PROCURADORIA-GERAL DA FAZENDA NACIONAL","320"
"RJ","CAIXA ECONOMICA FEDERAL - CEF","119"
"RJ","ALBERTO CAVALCANTE BRAGA ","0"
"RJ","PROCURADORIA-GERAL FEDERAL ","0"
"RJ","ADVOGADO-GERAL DA UNIAO","3065"
"RJ","INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS","876"
"RN","HELIO HIRASAWA","0"
"RN","ALBERTO CAVALCANTE BRAGA","0"
"RN","UNIAO","326"
"RN","ROBERTO MAIA","0"
"RN","PROCURADORIA-GERAL FEDERAL","122"
"RN","PROCURADORIA-GERAL DA FAZENDA NACIONAL","26"
"RN","CAIXA ECONOMICA FEDERAL - CEF","38"
"RN","ALBERTO CAVALCANTE BRAGA ","0"
"RN","PROCURADORIA-GERAL FEDERAL ","0"
"RN","ADVOGADO-GERAL DA UNIAO","252"
"RN","INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS","69"
"RO","HELIO HIRASAWA","0"
"RO","ALBERTO CAVALCANTE BRAGA","0"
"RO","UNIAO","49"
"RO","ROBERTO MAIA","0"
"RO","PROCURADORIA-GERAL FEDERAL","13"
"RO","PROCURADORIA-GERAL DA FAZENDA NACIONAL","9"
"RO","CAIXA ECONOMICA FEDERAL - CEF","3"
"RO","ALBERTO CAVALCANTE BRAGA ","0"
"RO","PROCURADORIA-GERAL FEDERAL ","0"
"RO","ADVOGADO-GERAL DA UNIAO","34"
"RO","INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS","11"
"RR","HELIO HIRASAWA","0"
"RR","ALBERTO CAVALCANTE BRAGA","0"
"RR","UNIAO","172"
"RR","ROBERTO MAIA","0"
"RR","PROCURADORIA-GERAL FEDERAL","9"
"RR","PROCURADORIA-GERAL DA FAZENDA NACIONAL","1"
"RR","CAIXA ECONOMICA FEDERAL - CEF","3"
"RR","ALBERTO CAVALCANTE BRAGA ","0"
"RR","PROCURADORIA-GERAL FEDERAL ","0"
"RR","ADVOGADO-GERAL DA UNIAO","172"
"RR","INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS","0"
"RS","HELIO HIRASAWA","0"
"RS","ALBERTO CAVALCANTE BRAGA","1"
"RS","UNIAO","3867"
"RS","ROBERTO MAIA","0"
"RS","PROCURADORIA-GERAL FEDERAL","747"
"RS","PROCURADORIA-GERAL DA FAZENDA NACIONAL","1481"
"RS","CAIXA ECONOMICA FEDERAL - CEF","460"
"RS","ALBERTO CAVALCANTE BRAGA ","0"
"RS","PROCURADORIA-GERAL FEDERAL ","0"
"RS","ADVOGADO-GERAL DA UNIAO","1702"
"RS","INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS","4393"
"SC","HELIO HIRASAWA","0"
"SC","ALBERTO CAVALCANTE BRAGA","0"
"SC","UNIAO","1658"
"SC","ROBERTO MAIA","0"
"SC","PROCURADORIA-GERAL FEDERAL","246"
"SC","PROCURADORIA-GERAL DA FAZENDA NACIONAL","584"
"SC","CAIXA ECONOMICA FEDERAL - CEF","356"
"SC","ALBERTO CAVALCANTE BRAGA ","0"
"SC","PROCURADORIA-GERAL FEDERAL ","0"
"SC","ADVOGADO-GERAL DA UNIAO","627"
"SC","INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS","1294"
"SE","HELIO HIRASAWA","0"
"SE","ALBERTO CAVALCANTE BRAGA","0"
"SE","UNIAO","120"
"SE","ROBERTO MAIA","0"
"SE","PROCURADORIA-GERAL FEDERAL","23"
"SE","PROCURADORIA-GERAL DA FAZENDA NACIONAL","26"
"SE","CAIXA ECONOMICA FEDERAL - CEF","6"
"SE","ALBERTO CAVALCANTE BRAGA ","0"
"SE","PROCURADORIA-GERAL FEDERAL ","0"
"SE","ADVOGADO-GERAL DA UNIAO","76"
"SE","INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS","182"
"SP","HELIO HIRASAWA","0"
"SP","ALBERTO CAVALCANTE BRAGA","0"
"SP","UNIAO","4882"
"SP","ROBERTO MAIA","0"
"SP","PROCURADORIA-GERAL FEDERAL","320"
"SP","PROCURADORIA-GERAL DA FAZENDA NACIONAL","2175"
"SP","CAIXA ECONOMICA FEDERAL - CEF","263"
"SP","ALBERTO CAVALCANTE BRAGA ","0"
"SP","PROCURADORIA-GERAL FEDERAL ","0"
"SP","ADVOGADO-GERAL DA UNIAO","626"
"SP","INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS","5052"
"TO","HELIO HIRASAWA","0"
"TO","ALBERTO CAVALCANTE BRAGA","0"
"TO","UNIAO","13"
"TO","ROBERTO MAIA","0"
"TO","PROCURADORIA-GERAL FEDERAL","2"
"TO","PROCURADORIA-GERAL DA FAZENDA NACIONAL","3"
"TO","CAIXA ECONOMICA FEDERAL - CEF","0"
"TO","ALBERTO CAVALCANTE BRAGA ","0"
"TO","PROCURADORIA-GERAL FEDERAL ","0"
"TO","ADVOGADO-GERAL DA UNIAO","13"
"TO","INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS","9"
